Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Everett et al (2020) Genome Research,Pseudomonas.moraviensis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.moraviensis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.putida.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.putida.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.sp..m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.stutzeri.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.stutzeri.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.syringae.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.syringae.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Psychrobacter.glacincola.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Psychrobacter.glacincola.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Psychrobacter.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Psychrobacter.sp..m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Rhizobacter.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
